name,primary_industry,secondary_industries,description,traits,keywords,salary_range,crossover_label,source_url,reviewed
"Anesthesiologist Assistant","Healthcare & Medicine","","You work alongside anesthesiologists to put patients safely to sleep before surgery and monitor them throughout procedures. You adjust medication levels, manage airways, and respond to emergencies in the operating room.","Calm,Quick-thinking,Technical,Attentive","technical,fast,calm,hands-on,high-stakes,team,monitoring","$120k–$175k","","https://www.onetonline.org/link/summary/29-1071.01","false"
"Occupational Health and Safety Specialist","Healthcare & Medicine","Business & Finance, Law & Government","You inspect workplaces to identify hazards and create safety programs that prevent injuries and illnesses. You might investigate accidents at construction sites, test air quality in factories, or train employees on proper safety procedures.","Analytical,Thorough,Communicative,Assertive","analytical,investigative,systems,communication,outdoor,travel,regulatory","$62k–$98k","Safety + Policy","https://www.bls.gov/ooh/healthcare/occupational-health-and-safety-specialists.htm","false"
"Ophthalmic Medical Technician","Healthcare & Medicine","Tech & Engineering","You perform eye exams and diagnostic tests, helping ophthalmologists detect conditions from glaucoma to diabetic eye disease. You operate high-tech imaging equipment and work directly with patients to protect their vision.","Technical,Patient,Detail-oriented,Personable","technical,people,hands-on,diagnostic,visual,routine,precise","$38k–$58k","","https://www.onetonline.org/link/summary/29-2057.00","false"
"Clinical Ethicist","Healthcare & Medicine","Law & Government, Education & Coaching","You help doctors, patients, and families navigate impossible medical decisions like end-of-life care and experimental treatments. You facilitate conversations about values and rights when there's no clear medical answer.","Thoughtful,Empathetic,Analytical,Diplomatic","people,analytical,calm,communication,ethical,counseling,advisory","$75k–$120k","Ethics + Medicine","https://www.onetonline.org/link/summary/21-1099.00","false"
"Polysomnographic Technologist","Healthcare & Medicine","Tech & Engineering, Science & Research","You monitor patients overnight in sleep labs, attaching sensors and analyzing brain waves to diagnose sleep disorders. Your work helps people with sleep apnea, insomnia, and narcolepsy finally get the rest they desperately need.","Patient,Technical,Observant,Night-owl","technical,independent,calm,monitoring,data,diagnostic,nocturnal","$52k–$75k","","https://www.onetonline.org/link/summary/29-2035.00","false"
"Curriculum Designer","Education & Coaching","Design & Creative, Tech & Engineering","You create the actual lessons, activities, and materials that teachers use in classrooms or online courses. You blend learning science with creative design to make complex topics engaging and accessible for different age groups.","Creative,Analytical,Detail-oriented,Empathetic","creative,systems,writing,people,independent,visual","$60k–$95k","Education + Design","https://www.onetonline.org/link/summary/25-9031.00","false"
"Athletic Academic Advisor","Education & Coaching","Sports & Fitness","You help student-athletes balance their sport with academics, ensuring they meet eligibility requirements and stay on track to graduate. You create study schedules around practice times and advocate for accommodations during competition seasons.","Organized,Empathetic,Patient,Problem-solver","people,systems,leadership,calm,independent","$45k–$70k","Sports + Education","https://www.onetonline.org/link/summary/21-1012.00","false"
"Museum Educator","Education & Coaching","Arts & Performance, Science & Research","You design and lead tours, workshops, and interactive programs that bring museum exhibits to life for school groups and families. You transform artifacts and artworks into hands-on learning experiences that spark curiosity.","Creative,Enthusiastic,Adaptable,Knowledgeable","people,creative,visual,hands-on,leadership","$38k–$58k","Arts + Education","https://www.onetonline.org/link/summary/25-3021.00","false"
"Instructional Coordinator","Education & Coaching","Business & Finance","You work behind the scenes evaluating how well schools and teachers are meeting learning goals, then recommend improvements. You analyze test data, observe classrooms, and train teachers on new methods and standards.","Analytical,Diplomatic,Strategic,Detail-oriented","systems,data,leadership,people,analytical","$55k–$100k","","https://www.bls.gov/ooh/education-training-and-library/instructional-coordinators.htm","false"
"Corporate Trainer","Education & Coaching","Business & Finance","You teach employees new skills, software, or company procedures through workshops, e-learning modules, and hands-on sessions. You assess what teams need to learn and design engaging training programs that stick.","Engaging,Organized,Patient,Adaptable","people,leadership,creative,systems,fast","$50k–$85k","Business + Education","https://www.bls.gov/ooh/business-and-financial/training-and-development-specialists.htm","false"
"Learning Experience Designer","Education & Coaching","Tech & Engineering, Design & Creative","You use technology and design thinking to build digital learning experiences like apps, simulations, and interactive courses. You combine user research with educational psychology to create tools that make learning feel natural.","Creative,Technical,Curious,User-focused","creative,systems,visual,data,independent,tech","$65k–$110k","Tech + Education","https://www.onetonline.org/link/summary/25-9031.00","false"
"School Counselor","Education & Coaching","Social Impact & Nonprofit","You guide students through academic planning, social challenges, and career exploration while identifying those who need additional mental health support. You're often the trusted adult students turn to during difficult times.","Empathetic,Patient,Trustworthy,Resourceful","people,calm,independent,leadership","$50k–$80k","","https://www.bls.gov/ooh/community-and-social-service/school-and-career-counselors.htm","false"
"Educational Diagnostician","Education & Coaching","Healthcare & Medicine, Science & Research","You evaluate students for learning disabilities and developmental delays using specialized tests and observations. Your assessments determine what support services students qualify for and how teachers should adapt instruction.","Analytical,Patient,Detail-oriented,Compassionate","analytical,data,people,calm,systems","$55k–$85k","Education + Healthcare","https://www.onetonline.org/link/summary/19-3031.02","false"
"Outdoor Education Instructor","Education & Coaching","Environment & Sustainability, Sports & Fitness","You teach students wilderness skills, environmental science, and teamwork through camping trips, ropes courses, and nature expeditions. You help young people build confidence and leadership while connecting with the outdoors.","Adventurous,Patient,Safety-conscious,Energetic","outdoor,physical,people,hands-on,leadership","$32k–$52k","Environment + Education","https://www.onetonline.org/link/summary/25-3021.00","false"
"Educational Technology Specialist","Education & Coaching","Tech & Engineering","You help schools select and implement technology tools, from learning management systems to tablets in classrooms. You train teachers to use new tech effectively and troubleshoot when things go wrong.","Technical,Patient,Problem-solver,Adaptable","tech,systems,people,analytical,hands-on","$50k–$80k","Tech + Education","https://www.onetonline.org/link/summary/25-9031.00","false"
"Sign Language Interpreter","Education & Coaching","Social Impact & Nonprofit","You translate spoken language into American Sign Language for deaf and hard-of-hearing students in classrooms, meetings, and events. You ensure students have equal access to education by bridging communication gaps in real-time.","Quick-thinking,Focused,Culturally-aware,Precise","people,fast,visual,hands-on,independent","$45k–$75k","","https://www.bls.gov/ooh/media-and-communication/interpreters-and-translators.htm","false"
"Career Coach","Education & Coaching","Business & Finance, Social Impact & Nonprofit","You help people identify their strengths, explore career options, and develop job search strategies through one-on-one coaching sessions. You guide clients through resume writing, interview prep, and major career transitions.","Encouraging,Strategic,Empathetic,Insightful","people,independent,leadership,calm,analytical","$45k–$85k","","https://www.bls.gov/ooh/community-and-social-service/school-and-career-counselors.htm","false"
"Early Intervention Specialist","Education & Coaching","Healthcare & Medicine, Social Impact & Nonprofit","You work with infants and toddlers who have developmental delays, providing therapy and teaching parents strategies to support their child's growth. You visit families at home to make early learning accessible and comfortable.","Gentle,Patient,Observant,Encouraging","people,calm,hands-on,independent,travel","$40k–$60k","Healthcare + Education","https://www.onetonline.org/link/summary/25-2051.00","false"
"E-Learning Developer","Education & Coaching","Tech & Engineering, Design & Creative","You build online courses using software tools to create videos, quizzes, animations, and interactive modules. You work closely with subject experts to turn their knowledge into engaging digital content anyone can access.","Technical,Creative,Detail-oriented,Self-motivated","creative,tech,visual,systems,independent","$55k–$90k","Tech + Design","https://www.onetonline.org/link/summary/25-9031.00","false"
"Literacy Coach","Education & Coaching","","You work alongside teachers to improve how reading and writing are taught in schools, modeling lessons and analyzing student work together. You're a behind-the-scenes expert who helps entire schools raise literacy levels.","Collaborative,Knowledgeable,Patient,Analytical","people,systems,writing,analytical,leadership","$50k–$75k","","https://www.onetonline.org/link/summary/25-9031.00","false"
"College Admissions Counselor","Education & Coaching","Business & Finance","You review applications and recruit students for a college, traveling to high schools and college fairs to represent your institution. You help shape each incoming class by evaluating essays, grades, and extracurriculars.","Personable,Organized,Fair-minded,Detail-oriented","people,travel,analytical,systems,leadership","$42k–$65k","","https://www.onetonline.org/link/summary/21-1012.00","false"
"Speech-Language Pathologist","Education & Coaching","Healthcare & Medicine","You help students overcome speech disorders, language delays, and communication challenges through targeted therapy sessions. You work in schools to ensure kids can express themselves and participate fully in class.","Patient,Observant,Encouraging,Analytical","people,calm,analytical,hands-on,independent","$65k–$100k","Healthcare + Education","https://www.bls.gov/ooh/healthcare/speech-language-pathologists.htm","false"
"Study Abroad Coordinator","Education & Coaching","Hospitality & Events","You help students plan international study experiences, handling applications, visas, housing, and cultural preparation. You troubleshoot emergencies abroad and ensure students gain transformative global experiences safely.","Organized,Culturally-aware,Problem-solver,Supportive","travel,people,systems,fast,leadership","$45k–$68k","Education + Travel","https://www.onetonline.org/link/summary/11-9033.00","false"
"Behavior Analyst","Education & Coaching","Healthcare & Medicine, Science & Research","You use scientific methods to understand why students behave certain ways and design interventions to help them succeed. You work closely with teachers and families to implement positive behavior support plans.","Analytical,Patient,Systematic,Observant","analytical,data,people,systems,calm","$58k–$95k","Science + Education","https://www.onetonline.org/link/summary/19-3039.01","false"
"Academic Librarian","Education & Coaching","Science & Research, Tech & Engineering","You help college students and professors find research sources, navigate databases, and evaluate information quality. You curate collections, teach research skills workshops, and preserve knowledge in physical and digital formats.","Curious,Organized,Helpful,Tech-savvy","systems,analytical,people,independent,data","$50k–$85k","Research + Education","https://www.bls.gov/ooh/education-training-and-library/librarians.htm","false"
"Podcast Producer","Media & Journalism","Tech & Engineering, Arts & Performance","You shape audio stories from concept to final episode, coordinating guests, editing sound, and crafting compelling narratives that reach thousands of listeners. Your work transforms raw conversations into polished content that entertains, educates, and builds loyal audiences.","Creative,Detail-oriented,Organized,Collaborative","creative,audio,storytelling,independent,systems,fast,people","$45k–$85k","Audio + Tech","https://www.onetonline.org/link/summary/27-4012.00","false"
"Fact-Checker","Media & Journalism","Science & Research","You verify the accuracy of claims in news articles, books, and media content by researching sources and cross-referencing data. Your meticulous work prevents misinformation from reaching the public and maintains trust in journalism.","Analytical,Detail-oriented,Skeptical,Persistent","research,analytical,writing,independent,data,systems,calm","$40k–$65k","Research + Media","https://www.onetonline.org/link/summary/27-3043.00","false"
"Broadcast News Analyst","Media & Journalism","Law & Government","You analyze current events and explain complex news stories to television and radio audiences in ways they can understand. Your expertise helps viewers make sense of politics, economics, and social issues shaping their world.","Articulate,Analytical,Composed,Knowledgeable","people,fast,analytical,leadership,visual,writing,speaking","$55k–$120k","","https://www.bls.gov/ooh/media-and-communication/news-analysts-reporters-and-journalists.htm","false"
"Social Media Manager","Media & Journalism","Business & Finance, Design & Creative","You craft and schedule posts, respond to followers, and analyze engagement metrics to grow an organization's online presence. Your strategies turn casual scrollers into engaged community members and loyal customers.","Creative,Adaptable,Strategic,Communicative","creative,data,fast,writing,visual,people,systems","$45k–$80k","Marketing + Creative","https://www.onetonline.org/link/summary/27-3031.00","false"
"Documentary Filmmaker","Media & Journalism","Arts & Performance, Social Impact & Nonprofit","You research, film, and edit non-fiction stories that illuminate real-world issues, cultures, and untold histories. Your films can shift public opinion, spark social movements, and preserve important stories for future generations.","Creative,Curious,Patient,Empathetic","creative,visual,storytelling,travel,independent,people,outdoor","$50k–$95k","Film + Social Impact","https://www.bls.gov/ooh/media-and-communication/film-and-video-editors-and-camera-operators.htm","false"
"Audio Description Writer","Media & Journalism","Social Impact & Nonprofit, Arts & Performance","You write narrated descriptions of visual elements in films, TV shows, and theater so blind and visually impaired audiences can fully experience the content. Your words paint vivid mental pictures that make entertainment accessible to everyone.","Empathetic,Observant,Creative,Precise","writing,creative,independent,calm,people,visual,accessibility","$40k–$70k","Accessibility + Media","https://www.onetonline.org/link/summary/27-3043.00","false"
"Closed Captioning Editor","Media & Journalism","Tech & Engineering, Social Impact & Nonprofit","You create accurate captions for live broadcasts, recorded shows, and online videos, ensuring deaf and hard-of-hearing viewers can follow along. Your fast typing and attention to detail make content accessible in real-time.","Detail-oriented,Fast,Focused,Accurate","writing,fast,systems,independent,calm,data,accessibility","$35k–$55k","Accessibility + Tech","https://www.onetonline.org/link/summary/27-3092.00","false"
"Investigative Reporter","Media & Journalism","Law & Government, Social Impact & Nonprofit","You spend months digging into corruption, injustice, and hidden truths by analyzing documents, interviewing sources, and following leads others miss. Your exposés have the power to change laws, topple corrupt officials, and protect the public.","Persistent,Analytical,Courageous,Ethical","research,analytical,writing,independent,people,data,investigative","$45k–$90k","Justice + Media","https://www.bls.gov/ooh/media-and-communication/news-analysts-reporters-and-journalists.htm","false"
"Media Archivist","Media & Journalism","Tech & Engineering, Science & Research","You catalog, preserve, and digitize historical footage, audio recordings, and photographs so they remain accessible for future generations. Your work ensures that important cultural moments aren't lost to deteriorating tapes or forgotten storage rooms.","Organized,Patient,Detail-oriented,Tech-savvy","systems,data,calm,independent,research,visual,preservation","$42k–$72k","History + Tech","https://www.bls.gov/ooh/education-training-and-library/archivists.htm","false"
"News Graphics Designer","Media & Journalism","Design & Creative, Tech & Engineering","You create charts, maps, animations, and visual explainers that help news audiences understand complex data and breaking stories. Your graphics transform dense statistics into compelling visuals that make information click instantly.","Creative,Analytical,Fast,Visual","visual,creative,data,fast,systems,analytical,design","$50k–$85k","Data + Design","https://www.onetonline.org/link/summary/27-1024.00","false"
"Sports Information Director","Media & Journalism","Sports & Fitness, Business & Finance","You manage media relations for college or professional sports teams, writing press releases, compiling statistics, and coordinating interviews between athletes and journalists. Your work shapes how teams are portrayed in the media and builds their public image.","Organized,Communicative,Statistical,Diplomatic","people,writing,data,fast,leadership,sports,systems","$40k–$75k","Sports + Media","https://www.onetonline.org/link/summary/27-3031.00","false"
"Audience Development Analyst","Media & Journalism","Business & Finance, Tech & Engineering","You study reader behavior, subscription data, and engagement metrics to help news organizations grow their audiences strategically. Your insights determine which stories get promoted, when newsletters go out, and how to convert casual readers into subscribers.","Analytical,Strategic,Data-driven,Curious","data,analytical,systems,research,independent,business,strategy","$55k–$95k","Data + Media","https://www.onetonline.org/link/summary/15-2051.00","false"
"Newsroom Developer","Media & Journalism","Tech & Engineering","You build interactive tools, data visualizations, and custom web features that enhance how journalists tell stories online. Your code powers election trackers, investigative databases, and immersive digital experiences that millions of readers use.","Technical,Creative,Problem-solver,Collaborative","data,systems,creative,visual,independent,analytical,coding","$65k–$120k","Tech + Journalism","https://www.bls.gov/ooh/computer-and-information-technology/web-developers.htm","false"
"Foreign Correspondent","Media & Journalism","Law & Government","You live abroad and report on international events, from political upheavals to cultural shifts, bringing distant stories to audiences back home. Your dispatches help people understand how global events affect their daily lives.","Adventurous,Adaptable,Courageous,Culturally-aware","travel,writing,people,independent,fast,outdoor,global","$50k–$110k","","https://www.bls.gov/ooh/media-and-communication/news-analysts-reporters-and-journalists.htm","false"
"Broadcast Meteorologist","Media & Journalism","Science & Research","You analyze weather data and present forecasts on television, radio, or online platforms, helping communities prepare for storms, heat waves, and daily conditions. Your clear explanations during severe weather can literally save lives.","Articulate,Scientific,Calm,Engaging","data,people,visual,science,fast,speaking,analytical","$50k–$100k","Science + Broadcasting","https://www.bls.gov/ooh/life-physical-and-social-science/atmospheric-scientists-including-meteorologists.htm","false"
"Transcriptionist","Media & Journalism","Law & Government","You convert audio and video recordings into accurate written text for news organizations, podcasts, courts, and researchers. Your transcripts become the searchable, quotable records that journalists and historians rely on.","Detail-oriented,Fast,Patient,Accurate","writing,independent,calm,systems,fast,listening,data","$30k–$50k","","https://www.onetonline.org/link/summary/27-3092.00","false"
"Media Researcher","Media & Journalism","Science & Research, Business & Finance","You gather background information, verify facts, and compile data that producers and journalists need to create accurate content. Your research forms the foundation of news segments, documentaries, and in-depth features.","Curious,Thorough,Analytical,Resourceful","research,data,analytical,independent,systems,writing,calm","$40k–$70k","Research + Media","https://www.onetonline.org/link/summary/27-3043.00","false"
"News Photographer","Media & Journalism","Design & Creative","You capture powerful images of breaking news, community events, and human interest stories that accompany print and digital articles. Your photographs often tell the story more powerfully than words ever could.","Observant,Quick-thinking,Creative,Persistent","visual,creative,fast,outdoor,travel,people,independent","$35k–$70k","","https://www.bls.gov/ooh/media-and-communication/photographers.htm","false"
"Multimedia Journalist","Media & Journalism","Tech & Engineering, Design & Creative","You report, shoot video, take photos, and edit your own stories for digital platforms, functioning as a one-person news team. Your versatility allows you to deliver compelling stories across multiple formats from anywhere in the world.","Versatile,Self-sufficient,Creative,Energetic","creative,visual,writing,fast,independent,travel,hands-on","$40k–$75k","","https://www.bls.gov/ooh/media-and-communication/news-analysts-reporters-and-journalists.htm","false"
"Copy Editor","Media & Journalism","","You review articles for grammar, style, accuracy, and clarity before they're published, serving as the last line of defense against errors. Your sharp eye and language expertise ensure that publications maintain credibility and professionalism.","Detail-oriented,Patient,Knowledgeable,Precise","writing,analytical,calm,independent,systems,detail,language","$40k–$70k","","https://www.bls.gov/ooh/media-and-communication/editors.htm","false"
"Legislative Analyst","Law & Government","Business & Finance, Science & Research","You research and analyze proposed laws, writing detailed reports that help legislators understand the potential impact of bills before they vote. Your work shapes policies affecting millions of people, from education funding to environmental regulations.","Analytical,Detail-oriented,Objective,Research-focused","writing,analytical,data,systems,independent,research","$55k–$95k","Policy + Research","https://www.onetonline.org/link/summary/13-1111.00","false"
"Immigration Services Officer","Law & Government","Social Impact & Nonprofit","You interview visa and citizenship applicants, reviewing their documents and backgrounds to make life-changing decisions about who can live and work in the country. Each case involves understanding complex personal stories while applying immigration law fairly.","Empathetic,Detail-oriented,Fair-minded,Culturally-aware","people,analytical,systems,calm,independent,data","$50k–$85k","","https://www.onetonline.org/link/summary/13-1199.01","false"
"Court Reporter","Law & Government","Media & Journalism","You use specialized stenography machines to capture every word spoken in courtrooms, depositions, and legal proceedings at speeds over 200 words per minute. Your transcripts become the official legal record that can determine the outcome of appeals and legal disputes.","Detail-oriented,Focused,Accurate,Patient","writing,fast,calm,independent,systems,technical","$45k–$95k","","https://www.bls.gov/ooh/legal/court-reporters.htm","false"
"Forensic Document Examiner","Law & Government","Science & Research","You analyze handwriting, signatures, and printed documents to detect forgeries and fraud, using microscopes and chemical analysis to uncover alterations. Your expert testimony in court can prove whether a will was forged or a confession was authentic.","Analytical,Meticulous,Objective,Scientific","analytical,data,independent,visual,hands-on,research","$50k–$90k","Science + Law","https://www.onetonline.org/link/summary/19-4092.00","false"
"Urban Planner","Law & Government","Environment & Sustainability, Design & Creative","You design how cities grow by deciding where parks, housing, roads, and businesses should be located to create livable communities. Your plans balance competing needs—affordable housing, green space, traffic flow—to shape neighborhoods for decades to come.","Visionary,Collaborative,Analytical,Creative","creative,analytical,people,systems,visual,leadership","$55k–$95k","Design + Government","https://www.bls.gov/ooh/life-physical-and-social-science/urban-and-regional-planners.htm","false"
"Customs and Border Protection Officer","Law & Government","","You inspect cargo, vehicles, and travelers entering the country at airports and borders, using x-ray machines and databases to stop smuggling and protect national security. Each day brings different situations—intercepting illegal goods, questioning suspicious travelers, or processing legitimate shipments.","Alert,Decisive,Observant,Authoritative","fast,physical,people,systems,analytical,travel","$55k–$105k","","https://www.onetonline.org/link/summary/33-3051.04","false"
"Victim Advocate","Law & Government","Social Impact & Nonprofit, Healthcare & Medicine","You guide crime victims through the overwhelming legal process, explaining court procedures, helping them access resources, and accompanying them to difficult hearings. Your support helps survivors navigate trauma while ensuring their voices are heard in the justice system.","Empathetic,Patient,Supportive,Resilient","people,calm,independent,systems,writing,advocacy","$38k–$60k","Social Work + Law","https://www.onetonline.org/link/summary/21-1099.00","false"
"Patent Examiner","Law & Government","Tech & Engineering, Science & Research","You review invention applications to determine if they're truly new and deserve patent protection, researching existing technologies and scientific literature. Your decisions determine whether inventors can protect their ideas and whether new technologies can enter the market.","Analytical,Technical,Thorough,Objective","analytical,data,independent,research,systems,writing","$70k–$140k","Tech + Law","https://www.onetonline.org/link/summary/23-2099.00","false"
"Emergency Management Director","Law & Government","Healthcare & Medicine","You coordinate community responses to disasters like hurricanes, wildfires, and pandemics, creating emergency plans and leading teams during crises. When disaster strikes, you're in the command center directing evacuations, resource distribution, and recovery efforts.","Decisive,Calm,Strategic,Leadership-oriented","leadership,fast,people,systems,calm,analytical","$65k–$130k","","https://www.bls.gov/ooh/management/emergency-management-directors.htm","false"
"Mediator","Law & Government","Business & Finance, Social Impact & Nonprofit","You help people in conflict—divorcing couples, feuding neighbors, disputing businesses—find solutions without going to court, facilitating conversations and proposing compromises. Your neutrality and communication skills transform bitter disputes into workable agreements.","Empathetic,Neutral,Patient,Persuasive","people,calm,analytical,independent,writing,systems","$50k–$85k","","https://www.bls.gov/ooh/legal/arbitrators-mediators-and-conciliators.htm","false"
"Intelligence Analyst","Law & Government","Tech & Engineering, Science & Research","You piece together information from multiple sources—satellite imagery, intercepted communications, foreign news—to identify threats and brief decision-makers on national security issues. Your analysis helps prevent attacks and guides foreign policy decisions.","Analytical,Discreet,Detail-oriented,Critical-thinking","analytical,data,independent,research,writing,systems","$60k–$110k","Security + Data","https://www.onetonline.org/link/summary/33-3021.06","false"
"Probation Officer","Law & Government","Social Impact & Nonprofit","You supervise people released from jail, checking in regularly, connecting them with job training and counseling, and enforcing court conditions. Your work balances public safety with helping people rebuild their lives and avoid returning to prison.","Firm,Empathetic,Organized,Perceptive","people,systems,independent,analytical,writing,calm","$45k–$75k","","https://www.bls.gov/ooh/community-and-social-service/probation-officers-and-correctional-treatment-specialists.htm","false"
"Environmental Compliance Inspector","Law & Government","Environment & Sustainability, Science & Research","You visit factories, construction sites, and facilities to check if they're following pollution laws, collecting water and air samples and reviewing environmental reports. Your inspections protect communities from contaminated water, toxic air, and illegal dumping.","Observant,Technical,Ethical,Thorough","outdoor,analytical,independent,systems,hands-on,data","$50k–$85k","Environment + Law","https://www.bls.gov/ooh/protective-service/occupational-health-and-safety-specialists.htm","false"
"Title Examiner","Law & Government","Business & Finance","You research property records going back decades to verify legal ownership before homes are sold, hunting through courthouse documents for liens, disputes, or claims. Your detective work in dusty records ensures buyers actually own what they're paying for.","Detail-oriented,Patient,Methodical,Analytical","analytical,data,independent,research,systems,writing","$40k–$70k","Real Estate + Law","https://www.onetonline.org/link/summary/23-2093.00","false"
"Diplomatic Courier","Law & Government","","You transport classified documents and sensitive materials between embassies and government offices worldwide, protecting national secrets during international travel. Your job takes you across borders with diplomatic immunity, responsible for items too sensitive to trust to any other method.","Trustworthy,Alert,Discreet,Adaptable","travel,independent,physical,fast,calm,systems","$45k–$80k","","https://www.onetonline.org/link/summary/43-5021.00","false"
"Compliance Officer","Law & Government","Business & Finance","You ensure organizations follow complex government regulations, developing policies, training employees, and investigating potential violations before regulators do. Your expertise prevents companies from facing massive fines, lawsuits, or criminal charges.","Ethical,Analytical,Thorough,Diplomatic","analytical,systems,writing,people,data,independent","$55k–$110k","Business + Law","https://www.bls.gov/ooh/business-and-financial/compliance-officers.htm","false"
"Forensic Accountant","Law & Government","Business & Finance","You investigate financial crimes by tracing money through complex transactions, uncovering embezzlement, fraud, and hidden assets that criminals try to disguise. Your spreadsheet detective work produces evidence used to prosecute white-collar criminals and recover stolen funds.","Analytical,Persistent,Detail-oriented,Investigative","analytical,data,independent,research,systems,writing","$65k–$125k","Finance + Law","https://www.onetonline.org/link/summary/13-2011.01","false"
"Paralegal","Law & Government","Business & Finance","You research legal precedents, draft documents, and organize case files so lawyers can focus on courtroom strategy and client meetings. Your behind-the-scenes work—interviewing witnesses, preparing exhibits, filing motions—keeps the entire legal process moving.","Organized,Detail-oriented,Analytical,Reliable","writing,analytical,systems,data,independent,research","$45k–$75k","","https://www.bls.gov/ooh/legal/paralegals-and-legal-assistants.htm","false"
"Equal Opportunity Representative","Law & Government","Social Impact & Nonprofit, Business & Finance","You investigate workplace discrimination complaints, interviewing witnesses, reviewing policies, and determining if employers violated civil rights laws. Your findings can result in compensation for victims and force organizations to change discriminatory practices.","Fair-minded,Investigative,Empathetic,Analytical","people,analytical,writing,systems,independent,advocacy","$50k–$90k","Civil Rights + Law","https://www.onetonline.org/link/summary/13-1041.00","false"
"Hearing Officer","Law & Government","Social Impact & Nonprofit","You preside over administrative hearings for disputes involving government benefits, professional licenses, or regulatory violations, acting as both judge and decision-maker. Your rulings determine whether people keep their benefits, licenses, or face penalties—without the formality of a courtroom.","Fair-minded,Analytical,Patient,Decisive","analytical,calm,writing,people,systems,independent","$55k–$100k","","https://www.onetonline.org/link/summary/23-1021.00","false"
"Paleoecologist","Science & Research","Environment & Sustainability","You study ancient ecosystems by analyzing fossils, pollen, and sediment cores to understand how environments changed over millions of years. Your discoveries help scientists predict how current ecosystems might respond to climate change.","Analytical,Patient,Detail-oriented,Curious","data,outdoor,independent,analytical,systems,hands-on","$55k–$95k","","https://www.onetonline.org/link/summary/19-2042.00","false"
"Cryogenic Technician","Science & Research","Tech & Engineering,Healthcare & Medicine","You operate and maintain equipment that reaches temperatures colder than outer space to preserve biological samples, power MRI machines, or support physics experiments. Your precision keeps critical research running and medical technologies functioning.","Technical,Precise,Calm,Safety-conscious","hands-on,systems,data,independent,calm,technical","$45k–$75k","Science + Healthcare","https://www.onetonline.org/link/summary/19-4031.00","false"
"Forensic Anthropologist","Science & Research","Law & Government","You analyze human skeletal remains to help solve crimes, identify disaster victims, or understand historical populations. Your expertise in bone structure and trauma patterns provides crucial evidence for criminal investigations and brings closure to families.","Analytical,Detail-oriented,Objective,Resilient","analytical,data,independent,hands-on,systems,writing","$50k–$85k","Science + Law","https://www.onetonline.org/link/summary/19-3091.01","false"
"Bioacoustician","Science & Research","Environment & Sustainability,Tech & Engineering","You record and analyze animal sounds to study wildlife behavior, track endangered species, and monitor ecosystem health. Your underwater microphones might capture whale songs while your forest sensors detect bird populations declining before anyone sees it.","Creative,Analytical,Patient,Observant","data,outdoor,analytical,creative,independent,systems","$52k–$90k","Science + Tech","https://www.onetonline.org/link/summary/19-1023.00","false"
"Mass Spectrometry Specialist","Science & Research","Healthcare & Medicine","You operate sophisticated instruments that identify molecules by their mass, detecting everything from drugs in blood samples to pollutants in water at parts-per-trillion levels. Your analyses support medical diagnoses, criminal investigations, and environmental protection.","Technical,Precise,Analytical,Methodical","data,analytical,systems,independent,technical,calm","$50k–$85k","","https://www.onetonline.org/link/summary/19-4031.00","false"
"Ethnobotanist","Science & Research","Healthcare & Medicine,Social Impact & Nonprofit","You study how indigenous cultures use plants for medicine, food, and rituals, often leading to discoveries of new pharmaceutical compounds. Your work bridges traditional knowledge and modern science while helping preserve endangered cultural practices.","Curious,Respectful,Adventurous,Observant","outdoor,people,travel,writing,analytical,independent","$48k–$82k","Science + Culture","https://www.onetonline.org/link/summary/19-1013.00","false"
"Planetary Geologist","Science & Research","Tech & Engineering","You study the rocks, surfaces, and geological processes of other planets and moons using satellite imagery and rover data. Your analysis of Martian soil or Europa's ice helps determine where life might exist beyond Earth.","Analytical,Imaginative,Patient,Detail-oriented","data,analytical,visual,systems,independent,writing","$65k–$120k","Science + Space","https://www.onetonline.org/link/summary/19-2042.00","false"
"Computational Biologist","Science & Research","Tech & Engineering,Healthcare & Medicine","You write code and build algorithms to analyze massive biological datasets, finding patterns in DNA sequences or predicting how proteins fold. Your computer models accelerate drug discovery and help unlock the secrets hidden in genetic code.","Analytical,Logical,Creative,Persistent","data,analytical,systems,independent,technical,creative","$70k–$130k","Science + Tech","https://www.onetonline.org/link/summary/19-1029.01","false"
"Science Illustrator","Science & Research","Design & Creative,Education & Coaching","You create detailed drawings, diagrams, and digital renderings that explain complex scientific concepts, from cell structures to surgical procedures. Your artwork appears in textbooks, medical journals, and museum exhibits, making science visible and understandable.","Creative,Detail-oriented,Patient,Curious","visual,creative,independent,hands-on,analytical,artistic","$45k–$75k","Science + Art","https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm","false"
"Volcanologist","Science & Research","Environment & Sustainability,Law & Government","You monitor active volcanoes using seismographs, gas sensors, and satellite imagery to predict eruptions and protect nearby communities. Your fieldwork on crater rims and analysis of lava samples helps us understand Earth's most powerful geological forces.","Adventurous,Analytical,Brave,Observant","outdoor,travel,data,analytical,physical,independent","$60k–$105k","","https://www.bls.gov/ooh/life-physical-and-social-science/geoscientists.htm","false"
