desc_similarity,career_a,primary_a,career_b,primary_b,secondary_a,secondary_b,salary_a,salary_b
0.565,Archaeological Conservator,Science & Research,Museum Conservation Scientist,Arts & Performance,Education & Coaching,"Science & Research,Education & Coaching",$35k–$65k,$45k–$75k
0.565,3D Animator (Commercial),Design & Creative,3D Animator,Gaming & Esports,"Media & Journalism,Tech & Engineering","Tech & Engineering,Marketing & Communications,Media & Journalism",$50k–$85k,$55k–$95k
0.565,Medical Technologist (Laboratory),Healthcare & Medicine,Clinical Lab Scientist,Science & Research,"Science & Research,Tech & Engineering","Healthcare & Medicine,Tech & Engineering",$38k–$58k,$40k–$70k
0.565,Virtual Reality Content Creator,Tech & Engineering,Immersive Experience Designer,Environment & Sustainability,"Design & Creative,Arts & Performance","Science & Research,Law & Government,Architecture & Urban Planning",$55k–$95k,$50k–$95k
0.565,Science Writer,Science & Research,Science Researcher Communicator,Media & Journalism,"Healthcare & Medicine,Tech & Engineering,Marketing & Communications","Science & Research,Education & Coaching",$45k–$75k,$45k–$75k
0.565,Theatrical Set Designer,Design & Creative,Scenic Designer (Theater),Arts & Performance,"Arts & Performance,Hospitality & Events","Design & Creative,Hospitality & Events",$35k–$65k,$35k–$65k
0.565,Art Director (Publishing),Design & Creative,Publication Designer,Science & Research,"Media & Journalism,Business & Finance","Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",$52k–$95k,$48k–$85k
0.565,Legal Mediator,Law & Government,Mediation Specialist,Media & Journalism,"Social Impact & Nonprofit,Business & Finance","Marketing & Communications,Arts & Performance,Law & Government",$55k–$85k,$48k–$77k
0.565,Conference Coordinator,Supply Chain & Operations,Conference Organizer,Hospitality & Events,"Business & Finance,Tech & Engineering,Science & Research","Business & Finance,Media & Journalism",$42k–$72k,$45k–$75k
0.565,Interactive Installation Designer,Arts & Performance,Interactive Installation Artist,Design & Creative,"Design & Creative,Tech & Engineering","Tech & Engineering,Arts & Performance",$45k–$85k,$45k–$85k
0.565,Performing Arts Therapist,Healthcare & Medicine,Dance Therapist,Arts & Performance,"Science & Research,Tech & Engineering,Arts & Performance","Healthcare & Medicine,Social Impact & Nonprofit",$48k–$77k,$40k–$65k
0.56,AI/Machine Learning Operations Manager,Tech & Engineering,Machine Learning Operations Engineer,Fashion & Beauty,"Business & Finance,Science & Research","Design & Creative,Marketing & Communications,Science & Research",$80k–$160k,$85k–$150k
0.56,IoT (Internet of Things) Specialist,Tech & Engineering,IoT Solutions Architect,Architecture & Urban Planning,"Science & Research,Entrepreneurship","Design & Creative,Environment & Sustainability,Cybersecurity",$65k–$120k,$75k–$140k
0.56,Sports Medicine Physical Therapist,Sports & Fitness,Sports Therapist,Gaming & Esports,"Healthcare & Medicine,Education & Coaching","Tech & Engineering,Marketing & Communications,Media & Journalism",$60k–$95k,$48k–$77k
0.56,Conference Planner,Supply Chain & Operations,Meeting Planner (Association),Hospitality & Events,"Business & Finance,Tech & Engineering,Science & Research","Business & Finance,Social Impact & Nonprofit",$45k–$75k,$48k–$77k
0.56,Clinical Laboratory Director,Supply Chain & Operations,Hospital Lab Manager,Healthcare & Medicine,"Business & Finance,Tech & Engineering,Science & Research","Business & Finance,Science & Research",$78k–$126k,$65k–$110k
0.556,Interior Decorator,Environment & Sustainability,Interior Design Consultant,Design & Creative,"Science & Research,Law & Government","Hospitality & Events,Business & Finance",$35k–$75k,$55k–$90k
0.556,Performance Capture Director,Arts & Performance,Performance Capture Artist,Gaming & Esports,"Tech & Engineering,Design & Creative","Tech & Engineering,Marketing & Communications,Media & Journalism",$60k–$110k,$45k–$85k
0.556,User Research Designer,Science & Research,UX Research Lead,Design & Creative,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning","Tech & Engineering,Business & Finance",$65k–$110k,$70k–$130k
0.55,Personal Golf Instructor,Sports & Fitness,Golf Instructor,Gaming & Esports,"Education & Coaching,Hospitality & Events","Tech & Engineering,Marketing & Communications,Media & Journalism",$30k–$65k,$30k–$65k
0.55,University Career Counselor,Sports & Fitness,Career Pathways Counselor,Education & Coaching,"Healthcare & Medicine,Marketing & Communications,Education & Coaching","Social Impact & Nonprofit,Business & Finance",$35k–$65k,$40k–$65k
0.55,Nutrition Coach (Performance),Sports & Fitness,Sports Nutritionist,Food & Culinary,"Healthcare & Medicine,Education & Coaching","Hospitality & Events,Business & Finance,Science & Research",$45k–$75k,$45k–$75k
0.55,Higher Education Career Counselor,Education & Coaching,University Career Counselor,Sports & Fitness,"Social Impact & Nonprofit,Business & Finance","Healthcare & Medicine,Marketing & Communications,Education & Coaching",$40k–$65k,$35k–$65k
0.55,ESG Ratings Analyst,Business & Finance,"ESG (Environmental, Social, Governance) Rater",Environment & Sustainability,"Environment & Sustainability,Law & Government","Business & Finance,Law & Government",$65k–$110k,$60k–$95k
0.55,Sports Nutrition Specialist,Sports & Fitness,Sports Nutritionist,Food & Culinary,"Healthcare & Medicine,Education & Coaching","Hospitality & Events,Business & Finance,Science & Research",$45k–$75k,$45k–$75k
0.55,Volunteer Management Specialist,Gaming & Esports,Volunteer Program Director,Social Impact & Nonprofit,"Tech & Engineering,Marketing & Communications,Science & Research","Education & Coaching,Hospitality & Events",$37k–$63k,$40k–$65k
0.55,Volunteer Management Specialist,Gaming & Esports,Volunteer Manager,Social Impact & Nonprofit,"Tech & Engineering,Marketing & Communications,Science & Research","Education & Coaching,Law & Government,Science & Research",$37k–$63k,$38k–$58k
