career,industry,listed_salary,floor_k,ceiling_k,seniority_tier,expected_min_floor_k,shortfall_k,created
Brand Identity Architect,Marketing & Communications,$55k–$95k,55,95,senior_ic,75,20,2026-04-22T02:52:32.271017+00:00
Community Foundation Director,Social Impact & Nonprofit,$55k–$90k,55,90,executive,75,20,2026-04-22T02:52:30.47108+00:00
Fractional CMO (Chief Marketing Officer),Entrepreneurship,$70k–$150k,70,150,executive,90,20,2026-06-23T04:03:14.357438+00:00
Impact Measurement Director,Social Impact & Nonprofit,$55k–$85k,55,85,executive,75,20,2026-05-23T02:03:53.635639+00:00
Landscape Architect (Residential),Design & Creative,$55k–$85k,55,85,senior_ic,75,20,2026-04-25T06:06:21.234542+00:00
Medical Illustration Director,Healthcare & Medicine,$55k–$95k,55,95,executive,75,20,2026-04-22T02:52:29.422718+00:00
Nonprofit Communications Director,Marketing & Communications,$55k–$90k,55,90,executive,75,20,2026-04-22T02:52:30.655222+00:00
Nonprofit Finance Director,Social Impact & Nonprofit,$55k–$85k,55,85,executive,75,20,2026-04-22T02:52:30.264317+00:00
Nonprofit IT Director,Social Impact & Nonprofit,$55k–$85k,55,85,executive,75,20,2026-05-08T02:05:53.107985+00:00
Nonprofit Technology Director,Social Impact & Nonprofit,$55k–$85k,55,85,executive,75,20,2026-04-22T02:52:30.082186+00:00
STEM Education Director,Education & Coaching,$55k–$85k,55,85,executive,75,20,2026-04-25T06:08:42.419035+00:00
STEM Education Program Director,Education & Coaching,$55k–$85k,55,85,executive,75,20,2026-06-18T02:39:11.545414+00:00
Senior Services Director,Social Impact & Nonprofit,$55k–$85k,55,85,executive,75,20,2026-07-01T04:25:21.96834+00:00
Senior Video Editor,Media & Journalism,$50k–$85k,50,85,senior_ic,70,20,2026-05-29T02:08:42.430336+00:00
Social Enterprise Director,Gaming & Esports,$55k–$95k,55,95,executive,75,20,2026-04-22T02:52:34.465719+00:00
Spa Director,Fashion & Beauty,$55k–$100k,55,100,executive,75,20,2026-04-22T02:52:30.47108+00:00
Corporate Training Director,Education & Coaching,$58k–$95k,58,95,executive,75,17,2026-04-22T02:52:32.086589+00:00
Illustration Art Director,Marketing & Communications,$58k–$95k,58,95,executive,75,17,2026-04-22T02:52:29.206458+00:00
Landscape Architect,Architecture & Urban Planning,$58k–$95k,58,95,senior_ic,75,17,2026-04-22T02:52:32.905098+00:00
Acoustic Architect,Design & Creative,$60k–$95k,60,95,senior_ic,75,15,2026-08-07T02:54:34.614372+00:00
Brand Architect,Design & Creative,$60k–$110k,60,110,senior_ic,75,15,2026-06-01T02:38:56.28267+00:00
Business Incubator Director,Entrepreneurship,$60k–$95k,60,95,executive,75,15,2026-04-30T01:57:43.40219+00:00
Climate Tech Project Director,Environment & Sustainability,$60k–$105k,60,105,executive,75,15,2026-05-21T02:13:17.275754+00:00
Communications Director,Media & Journalism,$60k–$95k,60,95,executive,75,15,2026-04-29T01:59:23.004673+00:00
Experience Architect,Architecture & Urban Planning,$60k–$95k,60,95,senior_ic,75,15,2026-04-22T02:52:30.655222+00:00
Experience Architect (UX Researcher),Design & Creative,$60k–$95k,60,95,senior_ic,75,15,2026-07-04T03:41:19.019155+00:00
Fashion Illustration Director,Fashion & Beauty,$60k–$95k,60,95,executive,75,15,2026-08-09T02:07:10.343846+00:00
Incubator Program Director,Gaming & Esports,$60k–$120k,60,120,executive,75,15,2026-04-22T02:52:29.856816+00:00
Information Architecture Designer,Design & Creative,$60k–$95k,60,95,senior_ic,75,15,2026-07-05T03:59:32.734405+00:00
Launch Pad Director (Startup Incubator),Entrepreneurship,$60k–$95k,60,95,executive,75,15,2026-07-04T03:41:43.696623+00:00
Media Buying Director,Media & Journalism,$60k–$120k,60,120,executive,75,15,2026-05-08T02:02:41.216715+00:00
Municipal Planning Director,Gaming & Esports,$60k–$95k,60,95,executive,75,15,2026-04-22T02:52:34.239097+00:00
Museum Architect,Arts & Performance,$60k–$95k,60,95,senior_ic,75,15,2026-07-24T03:18:44.568577+00:00
Opera House Director,Science & Research,$60k–$95k,60,95,executive,75,15,2026-04-22T02:52:33.86077+00:00
Performance Capture Director,Arts & Performance,$60k–$110k,60,110,executive,75,15,2026-05-01T01:59:44.296311+00:00
Podcast Network Director,Media & Journalism,$60k–$95k,60,95,executive,75,15,2026-07-15T02:53:11.244202+00:00
Public Health Program Director,Healthcare & Medicine,$60k–$95k,60,95,executive,75,15,2026-07-22T03:19:43.244927+00:00
Research Ethics Board Director,Science & Research,$60k–$95k,60,95,executive,75,15,2026-04-22T02:52:29.856816+00:00
Special Education Director,Education & Coaching,$60k–$95k,60,95,executive,75,15,2026-05-18T02:14:01.465695+00:00
Animation Director,Gaming & Esports,$65k–$120k,65,120,executive,75,10,2026-04-22T02:52:31.660242+00:00
Animation Director (Film/TV),Design & Creative,$65k–$130k,65,130,executive,75,10,2026-07-04T03:41:22.375838+00:00
City Planning Director,Law & Government,$65k–$110k,65,110,executive,75,10,2026-04-25T06:09:21.665662+00:00
Computer Network Architect,Tech & Engineering,$65k–$120k,65,120,senior_ic,75,10,2026-04-22T06:27:54.03876+00:00
Corporate Executive Coach,Education & Coaching,$65k–$150k,65,150,executive,75,10,2026-05-15T02:07:59.424691+00:00
Corporate Learning Director,Sports & Fitness,$65k–$110k,65,110,executive,75,10,2026-04-22T02:52:31.845128+00:00
Creative Director (Advertising Agency),Design & Creative,$65k–$120k,65,120,executive,75,10,2026-08-04T03:14:01.914309+00:00
Creative Director (Advertising),Design & Creative,$65k–$120k,65,120,executive,75,10,2026-04-23T06:28:46.096488+00:00
Creative Director (Fashion),Fashion & Beauty,$65k–$120k,65,120,executive,75,10,2026-04-22T02:52:30.264317+00:00
Creative Director (Gaming),Design & Creative,$65k–$130k,65,130,executive,75,10,2026-06-22T03:26:20.840206+00:00
Emergency Management Director,Gaming & Esports,$65k–$130k,65,130,executive,75,10,2026-04-22T02:52:31.20659+00:00
Executive Coach,Sports & Fitness,$65k–$120k,65,120,executive,75,10,2026-04-22T02:52:33.295118+00:00
Executive Director (Education Nonprofit),Education & Coaching,$65k–$120k,65,120,executive,75,10,2026-06-06T02:07:06.486892+00:00
Experience Architect (Digital Products),Design & Creative,$65k–$110k,65,110,senior_ic,75,10,2026-05-24T02:09:26.393164+00:00
Experience Architect (Digital),Design & Creative,$65k–$110k,65,110,senior_ic,75,10,2026-04-28T07:57:15.539546+00:00
Experience Architect (UX Strategy),Design & Creative,$65k–$120k,65,120,senior_ic,75,10,2026-05-14T02:08:35.821973+00:00
Experience Architect (UX),Design & Creative,$65k–$120k,65,120,senior_ic,75,10,2026-04-22T06:25:53.662995+00:00
Experience Architect (UX/UI),Design & Creative,$65k–$120k,65,120,senior_ic,75,10,2026-05-26T02:08:50.608297+00:00
Fractional Chief Marketing Officer,Entrepreneurship,$80k–$150k,80,150,executive,90,10,2026-06-03T02:46:54.968266+00:00
Fragrance Marketing Director,Fashion & Beauty,$65k–$120k,65,120,executive,75,10,2026-06-23T04:04:34.276132+00:00
Franchise Architect,Entrepreneurship,$65k–$120k,65,120,senior_ic,75,10,2026-07-28T02:56:25.323996+00:00
Game Art Director,Gaming & Esports,$65k–$120k,65,120,executive,75,10,2026-04-22T02:52:31.660242+00:00
Government Affairs Director,Social Impact & Nonprofit,$65k–$120k,65,120,executive,75,10,2026-04-22T02:52:30.655222+00:00
Green Building Architect,Architecture & Urban Planning,$65k–$130k,65,130,senior_ic,75,10,2026-04-22T02:52:31.392704+00:00
Housing Authority Director,Law & Government,$65k–$110k,65,110,executive,75,10,2026-04-22T02:52:33.675655+00:00
Information Architect,Architecture & Urban Planning,$65k–$110k,65,110,senior_ic,75,10,2026-04-22T02:52:32.086589+00:00
Labor Relations Director (Government),Law & Government,$65k–$110k,65,110,executive,75,10,2026-04-22T02:52:33.675655+00:00
Medical Laboratory Director,Science & Research,$65k–$120k,65,120,executive,75,10,2026-05-18T02:14:43.820012+00:00
Metaverse Architect,Architecture & Urban Planning,$65k–$120k,65,120,senior_ic,75,10,2026-04-22T02:52:32.680575+00:00
Motion Design Director,Design & Creative,$65k–$120k,65,120,executive,75,10,2026-04-23T06:30:17.841034+00:00
Motion Graphics Art Director,Design & Creative,$65k–$120k,65,120,executive,75,10,2026-05-15T02:07:53.698699+00:00
Nonprofit Executive Director,Gaming & Esports,$65k–$110k,65,110,executive,75,10,2026-04-22T02:52:30.47108+00:00
Nonprofit Executive Director Search Consultant,Social Impact & Nonprofit,$65k–$110k,65,110,executive,75,10,2026-04-22T02:52:32.905098+00:00
Nonprofit Legal Director,Law & Government,$65k–$110k,65,110,executive,75,10,2026-07-07T03:57:36.052463+00:00
Police Chief,Law & Government,$80k–$130k,80,130,executive,90,10,2026-06-23T04:03:36.586422+00:00
Publishing Rights Director,Media & Journalism,$65k–$120k,65,120,executive,75,10,2026-07-13T03:33:13.922552+00:00
State Environmental Policy Director,Law & Government,$65k–$110k,65,110,executive,75,10,2026-06-08T02:37:53.199738+00:00
Tech Incubator Director,Entrepreneurship,$65k–$120k,65,120,executive,75,10,2026-05-14T02:08:48.844845+00:00
Virtual Reality Architect,Architecture & Urban Planning,$65k–$110k,65,110,senior_ic,75,10,2026-04-22T02:52:32.086589+00:00
Athletic Director,Sports & Fitness,$70k–$150k,70,150,executive,75,5,2026-04-22T02:52:34.05043+00:00
Brand Strategy Director,Marketing & Communications,$70k–$150k,70,150,executive,75,5,2026-04-22T02:52:32.680575+00:00
Experience Design Director,Design & Creative,$70k–$130k,70,130,executive,75,5,2026-05-14T02:10:00.195732+00:00
Government Technology Director,Law & Government,$70k–$130k,70,130,executive,75,5,2026-06-17T02:41:28.391159+00:00
Graphic Design Director,Marketing & Communications,$70k–$130k,70,130,executive,75,5,2026-04-22T02:52:34.05043+00:00
Lab Director,Science & Research,$70k–$130k,70,130,executive,75,5,2026-04-30T01:59:37.170529+00:00
Research Data Architect,Science & Research,$70k–$130k,70,130,senior_ic,75,5,2026-08-09T02:07:20.166532+00:00
Risk Management Director,Hospitality & Events,$70k–$130k,70,130,executive,75,5,2026-04-22T02:52:29.856816+00:00
Tech Startup Accelerator Director,Entrepreneurship,$70k–$150k,70,150,executive,75,5,2026-04-22T02:52:32.271017+00:00
