tier,score,id,name,keyword,found_in,primary_industry,secondary_industries,expected_any_of,created_at,description
HIGH,16,cb2fbd0e-2744-4366-87f0-3e4d66958ac2,Inclusive Beauty Product Developer,Developer,title,Fashion & Beauty,"Science & Research,Design & Creative",Tech & Engineering / Gaming & Esports / Cybersecurity / Media & Journalism,2026-06-30T04:08:44.601514+00:00,"You create makeup, skincare, and beauty products that work for all skin tones and abilities, testing formulas, researching ingredients, and collaborating with diverse communities to ensure nothing gets left behind."
HIGH,16,475d43d2-66d7-4259-9583-f0fec7ad72e6,Industrial Illustrator,Illustrator,title,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Design & Creative / Arts & Performance / Media & Journalism,2026-04-22T02:52:34.05043+00:00,"You create detailed technical and product illustrations that transform complex industrial designs into clear, compelling visuals that engineers, manufacturers, and customers actually understand."
HIGH,16,899d7e11-d2e6-45bb-bfcc-d226d08ea539,Internal Auditor,Auditor,title,Sports & Fitness,"Healthcare & Medicine,Marketing & Communications,Science & Research",Business & Finance / Law & Government,2026-04-22T02:52:33.477982+00:00,"You investigate financial records and business processes to uncover risks, inefficiencies, and fraud, helping organizations strengthen their controls and protect their assets."
HIGH,16,5c46f7b4-e91c-4a03-b3c4-ad1d3fb53796,International Humanitarian Aid Worker,Humanitarian,title,Food & Culinary,"Hospitality & Events,Business & Finance,Science & Research",Social Impact & Nonprofit / Healthcare & Medicine,2026-04-22T02:52:30.082186+00:00,"You deliver emergency medical care, rebuild schools, and distribute food in crisis zones—directly saving lives while rebuilding communities devastated by conflict or natural disaster."
HIGH,16,203d3789-0561-4759-8c8e-3f0f5c18e689,Investment Advisor,Investment,title,Cybersecurity,"Tech & Engineering,Law & Government,Science & Research",Business & Finance,2026-04-22T02:52:32.680575+00:00,"You help people grow their wealth by analyzing markets, understanding their financial goals, and recommending smart investment strategies that turn their money into long-term security and opportunity."
HIGH,16,4b57890d-7b25-438c-949f-a9af1e799181,Investment Banker,Investment,title,Science & Research,"Healthcare & Medicine,Tech & Engineering",Business & Finance,2026-04-22T02:52:32.680575+00:00,"You analyze companies, structure complex financial deals, and guide clients through multi-million dollar mergers and acquisitions—making strategic decisions that reshape entire industries."
HIGH,16,e7d75bf3-4d70-48c5-b247-af4991dd87d4,Investment Banking Analyst,Investment,title,Fashion & Beauty,"Design & Creative,Marketing & Communications,Science & Research",Business & Finance,2026-04-22T02:52:31.20659+00:00,"You build financial models and analyze potential deals that help companies make multi-million dollar decisions, working on high-stakes transactions that shape the business world."
HIGH,16,b085448b-5364-49b9-bc25-2391077f9bdd,Investment Manager,Investment,title,Science & Research,"Healthcare & Medicine,Tech & Engineering",Business & Finance,2026-04-22T02:52:32.271017+00:00,"You research markets, analyze financial data, and make strategic investment decisions that grow wealth for clients, institutions, or your own portfolio while navigating complex economic trends."
HIGH,16,b379c0c6-7811-4fc5-8be1-b7a2c7352432,Investment Portfolio Manager,Investment,title,Science & Research,"Healthcare & Medicine,Tech & Engineering",Business & Finance,2026-04-22T02:52:32.271017+00:00,"You analyze market trends, build diversified investment strategies, and manage millions in client assets to grow wealth while minimizing risk."
HIGH,16,fc946614-8316-47be-bf30-ef5901dcedda,Land Surveyor,Surveyor,title,Law & Government,"Science & Research,Tech & Engineering",Architecture & Urban Planning / Environment & Sustainability / Supply Chain & Operations,2026-08-05T02:55:53.073588+00:00,"You use precision instruments and GPS technology to map land boundaries, create detailed property surveys, and provide the legal documentation that makes real estate transactions, construction projects, and infrastructure development possible."
HIGH,16,26be8616-e8f5-44f5-8d35-ef87be11d46c,Live Theater Lighting Technician,Theater,title,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Arts & Performance,2026-04-22T02:52:30.082186+00:00,"You design and operate sophisticated lighting systems that transform live theater performances, cueing dramatic moments and guiding audiences through every emotional beat on stage."
HIGH,16,0ae330f0-4999-41ee-aef7-5451adb82e02,Local Delivery Logistics Startup Founder,Logistics,title,Entrepreneurship,"Tech & Engineering,Business & Finance",Supply Chain & Operations / Aviation & Transportation,2026-06-12T02:34:11.555263+00:00,"You build and scale a delivery network from the ground up, optimizing routes, managing logistics software, and solving real-time problems to get packages to customers fast while growing your business."
HIGH,16,c0b4ca21-54b8-4998-97d3-139de10dbd26,Logistics Startup Founder,Logistics,title,Entrepreneurship,"Tech & Engineering,Business & Finance",Supply Chain & Operations / Aviation & Transportation,2026-05-10T01:54:59.854523+00:00,"You build systems and software that move goods faster and cheaper, solving real supply chain puzzles while growing your own company from the ground up."
HIGH,16,aafda4f0-067a-44c6-9437-4aeee377e7fc,Logistics Tech Founder,Logistics,title,Entrepreneurship,"Tech & Engineering,Business & Finance",Supply Chain & Operations / Aviation & Transportation,2026-06-11T02:37:46.014034+00:00,"You build software platforms that streamline supply chains and shipping operations, solving real-world logistics problems while scaling your own business from idea to market."
HIGH,16,f38275ba-94b7-4065-9f6c-5f70c2925573,Logistics Tech Startup Founder,Logistics,title,Entrepreneurship,"Tech & Engineering,Business & Finance",Supply Chain & Operations / Aviation & Transportation,2026-04-22T02:52:32.905098+00:00,"You build software solutions that streamline supply chains and warehouses, solving real logistics problems while growing your own company from the ground up."
HIGH,16,89c371d1-f05c-4d32-8234-fd7573ec46e0,Luxury Hair Care Product Developer,Developer,title,Fashion & Beauty,"Design & Creative,Entrepreneurship",Tech & Engineering / Gaming & Esports / Cybersecurity / Media & Journalism,2026-06-25T04:06:51.461395+00:00,"You create cutting-edge shampoos, conditioners, and treatments that transform hair health, blending chemistry with luxury branding to develop products that command premium prices and devoted customers."
HIGH,16,eaa2f6ef-96d8-4811-8a52-a85d60ceb2a2,Makeup Brand Developer,Developer,title,Fashion & Beauty,"Design & Creative,Entrepreneurship",Tech & Engineering / Gaming & Esports / Cybersecurity / Media & Journalism,2026-04-29T01:58:54.827499+00:00,"You develop innovative makeup formulas, packaging, and brand identities that captivate consumers, conducting research, testing products, and collaborating with chemists and marketers to launch collections that define beauty trends."
HIGH,16,3df21171-30f7-470d-987b-18aa1edcbce0,Makeup Brand Founder,Makeup,title,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",Fashion & Beauty / Arts & Performance / Media & Journalism,2026-04-22T02:52:32.905098+00:00,"You develop makeup formulas, design packaging, build brand identity, and grow a business from concept to retail shelves—balancing creativity with profit margins to turn your beauty vision into a profitable company."
HIGH,16,b00fcb03-37fe-49bb-a9ff-0267e0d9a20d,Makeup Educator,Makeup,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",Fashion & Beauty / Arts & Performance / Media & Journalism,2026-04-22T02:52:30.655222+00:00,"You teach people how to apply makeup through classes, tutorials, and demonstrations, helping them build confidence and express their creativity while building a loyal community of beauty enthusiasts."
HIGH,16,1586c0e9-e7f2-46ce-a2c3-e2410988d00c,Makeup Effects Artist,Makeup,title,Hospitality & Events,"Food & Culinary,Marketing & Communications,Architecture & Urban Planning",Fashion & Beauty / Arts & Performance / Media & Journalism,2026-04-22T02:52:32.496342+00:00,"You transform actors and performers into fantastical characters by designing and applying intricate prosthetics, animatronics, and special effects makeup for film, television, theater, and live events."
HIGH,16,2e24e391-736a-4ecc-8299-19f2d4d9b751,Makeup Effects Artist (Non-Theater),Theater,title,Fashion & Beauty,"Media & Journalism,Design & Creative",Arts & Performance,2026-06-22T03:23:45.401201+00:00,"You create stunning visual transformations using prosthetics, silicones, and pigments for film, TV, commercials, and photography—bringing characters and creative visions to life with technical artistry."
HIGH,16,5bdf5e87-9dcb-413a-ba5f-6508dce23ba7,Marketplace Sustainability Platform Founder,Sustainability,title,Entrepreneurship,"Tech & Engineering,Social Impact & Nonprofit",Environment & Sustainability / Business & Finance / Supply Chain & Operations / Architecture & Urban Planning,2026-04-22T02:52:29.422718+00:00,"You build digital marketplaces that connect buyers and sellers while embedding sustainability practices, making every transaction count toward environmental and social good."
HIGH,16,017a7366-d430-4a11-a0b3-b0cebf4b8b73,Media Accessibility Auditor,Auditor,title,Media & Journalism,"Tech & Engineering,Design & Creative",Business & Finance / Law & Government,2026-08-12T02:27:46.857274+00:00,"You review digital media content to ensure it's accessible to everyone—adding captions, audio descriptions, and testing compatibility—making entertainment and information truly inclusive."
HIGH,16,12d49303-69d0-4046-8b06-9a3c61f88231,Medical Illustrator,Illustrator,title,Education & Coaching,"Social Impact & Nonprofit,Tech & Engineering,Science & Research",Design & Creative / Arts & Performance / Media & Journalism,2026-04-22T02:52:31.20659+00:00,"You create detailed illustrations of human anatomy, surgical procedures, and biological processes for medical textbooks, journals, and patient education. Your artwork helps doctors communicate complex health information and trains the next generation of surgeons."
HIGH,16,1e5cc23f-d163-4bab-9284-b96c0360afa3,Mobile App Developer (Indie),Developer,title,Marketing & Communications,"Business & Finance,Design & Creative,Architecture & Urban Planning",Tech & Engineering / Gaming & Esports / Cybersecurity / Media & Journalism,2026-04-22T02:52:34.239097+00:00,"You design, build, and launch your own mobile apps from concept to app store, solving real problems for users while growing your indie business through marketing and customer feedback."
HIGH,16,5c194434-dd4f-4b64-806d-dbb75ed6ae73,Niche Software as a Service Founder,Software,title,Marketing & Communications,"Business & Finance,Design & Creative,Entrepreneurship",Tech & Engineering / Gaming & Esports / Cybersecurity,2026-04-22T02:52:30.655222+00:00,"You build and launch specialized software products for underserved markets, solving specific problems for niche customer groups while managing everything from product development to marketing and sales."
HIGH,16,e9bb9b85-87cd-4706-b46a-7a9281a2353e,Nonprofit Board Liaison,Nonprofit,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Social Impact & Nonprofit / Business & Finance,2026-04-22T02:52:30.47108+00:00,"You bridge nonprofit leadership and community stakeholders by managing board relationships, coordinating governance activities, and ensuring the organization's mission stays aligned with board members' strategic vision."
HIGH,16,b4077c66-7953-4d98-99e8-733117b0c5aa,Nonprofit Executive Director,Nonprofit,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Social Impact & Nonprofit / Business & Finance,2026-04-22T02:52:30.47108+00:00,"You lead a mission-driven organization, making tough decisions about strategy and resources while inspiring a team to tackle pressing social problems like hunger, education, or environmental protection."
HIGH,16,01afc0f0-44a7-47aa-b696-b49b7398769b,Nonprofit Finance Manager,Nonprofit,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Social Impact & Nonprofit / Business & Finance,2026-04-22T02:52:34.239097+00:00,"You manage budgets and financial systems for organizations tackling social problems, turning limited donations into measurable community impact."
HIGH,16,795c4efa-686f-4b17-a67b-d3da47578d9b,Nonprofit Founder,Nonprofit,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Social Impact & Nonprofit / Business & Finance,2026-04-22T02:52:32.680575+00:00,"You build and lead organizations that solve social problems, spending your days fundraising, managing teams, developing programs, and measuring the real-world impact of your mission."
HIGH,16,5fc70934-70d1-4452-a832-2359b9b6bde9,Nonprofit Fundraiser,Nonprofit,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Social Impact & Nonprofit / Business & Finance,2026-04-22T02:52:33.675655+00:00,"You craft compelling stories and build donor relationships to fuel mission-driven organizations, turning passionate people into committed supporters who change communities."
HIGH,16,a435e956-914b-40f7-ae1c-e91cabb1cdd5,Nonprofit Program Officer,Nonprofit,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Social Impact & Nonprofit / Business & Finance,2026-04-22T02:52:30.47108+00:00,"You design and manage programs that solve social problems—managing budgets, evaluating impact, and working directly with communities to create measurable change."
HIGH,16,9ad5138a-890f-46df-abf9-72940a13dd44,Performance Coach (Theater),Theater,title,Sports & Fitness,"Healthcare & Medicine,Marketing & Communications,Architecture & Urban Planning",Arts & Performance,2026-04-22T02:52:29.856816+00:00,"You guide actors and performers through character development, emotional authenticity, and stage presence, pushing them to deliver transformative performances night after night."
HIGH,16,8170987f-51cb-4bb8-b2ed-38ca6230cffc,Performing Arts Venue Programmer,Programmer,title,Arts & Performance,"Hospitality & Events,Business & Finance",Tech & Engineering / Gaming & Esports,2026-05-21T02:12:31.848098+00:00,"You curate and schedule performances, exhibitions, and events at theaters, galleries, or concert halls, deciding what artists and shows audiences experience and when."
HIGH,16,4749560f-acaa-4f82-ac6f-d43e8da660ec,Pharmacy Technician,Pharmacy,title,Supply Chain & Operations,"Business & Finance,Tech & Engineering",Healthcare & Medicine,2026-04-22T02:52:33.477982+00:00,"You dispense medications, manage pharmacy inventory, and help patients understand their prescriptions—making sure people get the right drugs at the right doses to stay healthy."
HIGH,16,9e7f9c74-c67d-40eb-ba53-5ece140d972d,Plant-Based Product Developer,Developer,title,Food & Culinary,"Science & Research,Environment & Sustainability",Tech & Engineering / Gaming & Esports / Cybersecurity / Media & Journalism,2026-08-12T02:24:20.443124+00:00,"You develop delicious, nutritious plant-based foods from concept to shelf by experimenting with ingredients, flavors, and textures to create products that rival their animal-based counterparts."
HIGH,16,08cb6860-2041-4cb3-83b9-527110f4214e,Podcast Host,Podcast,title,Entrepreneurship,"Business & Finance,Tech & Engineering,Architecture & Urban Planning",Media & Journalism / Arts & Performance / Marketing & Communications,2026-04-22T02:52:34.05043+00:00,"You research, write, record, and edit engaging audio episodes on topics you're passionate about, building a loyal audience and shaping conversations through storytelling."
HIGH,16,201e900b-0092-48c5-88e3-2c56c248bbc8,Podcast Producer & Founder,Podcast,title,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Entrepreneurship",Media & Journalism / Arts & Performance / Marketing & Communications,2026-04-22T02:52:34.465719+00:00,"You research compelling stories, record interviews, edit audio, and grow an audience by launching and managing your own podcast series from concept to distribution."
HIGH,16,f8be7841-5eda-41d0-ae55-c50c231ef74f,Real Estate Developer,Developer,title,Architecture & Urban Planning,"Design & Creative,Environment & Sustainability",Tech & Engineering / Gaming & Esports / Cybersecurity / Media & Journalism,2026-04-22T02:52:29.646164+00:00,"You transform vacant land and buildings into thriving communities by envisioning, financing, and constructing projects that reshape neighborhoods and create spaces where people live, work, and gather."
HIGH,16,e762e773-8edb-476a-a278-ad012c4e004e,Recreation Therapist,Therapist,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Healthcare & Medicine / Sports & Fitness / Education & Coaching / Social Impact & Nonprofit,2026-04-22T02:52:33.675655+00:00,"You use sports, games, and physical activities to help people recovering from injuries, disabilities, or mental health challenges regain function and confidence. Your creative activity plans turn rehabilitation from a chore into an engaging journey toward independence."
HIGH,16,b814a04f-88ec-4c5e-ab90-a09bbcc4741f,Recreational Therapist,Therapist,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Entrepreneurship",Healthcare & Medicine / Sports & Fitness / Education & Coaching / Social Impact & Nonprofit,2026-04-22T02:52:29.422718+00:00,"You plan activities like adaptive sports, art projects, and outdoor adventures to help people recover from injuries or manage disabilities. You might teach veterans with PTSD to kayak or help nursing home residents stay mentally sharp through games."
HIGH,16,c59c9a92-47d9-44bd-bc67-9fa771298956,Scenic Painter,Painter,title,Sports & Fitness,"Healthcare & Medicine,Marketing & Communications,Science & Research",Arts & Performance,2026-04-22T02:52:34.05043+00:00,"You paint backdrops, sets, and props for theater, film, and television productions, using techniques like faux finishing to make materials look like marble, wood, or aged surfaces. Your artistry creates the visual world that transports audiences to different times and places."
HIGH,16,56760e0e-c8c7-42f8-951f-167cffb85145,Set Electrician (Theater),Theater,title,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Arts & Performance,2026-04-22T02:52:29.646164+00:00,"You design and install lighting rigs, sound systems, and electrical infrastructure that bring theatrical productions to life, working behind the scenes to create the technical magic audiences experience."
HIGH,16,f6eb051f-1a81-429c-96fb-3f7cc9427ed3,Shipping and Logistics Startup Founder,Logistics,title,Entrepreneurship,"Business & Finance,Tech & Engineering",Supply Chain & Operations / Aviation & Transportation,2026-04-22T02:52:30.264317+00:00,"You build and scale a shipping and logistics company from the ground up, solving real problems in supply chain management while managing operations, customers, and growth."
HIGH,16,da133154-f6c2-4bc2-8073-f761be787b6d,Skincare Product Developer,Developer,title,Fashion & Beauty,"Science & Research,Design & Creative",Tech & Engineering / Gaming & Esports / Cybersecurity / Media & Journalism,2026-05-21T02:13:29.732824+00:00,"You formulate, test, and refine skincare products in a lab, blending chemistry with beauty trends to create serums, moisturizers, and treatments that solve real skin problems."
HIGH,16,4b68fb43-19df-4c77-b607-cb103569cd01,Software Engineer Manager,Software,title,Architecture & Urban Planning,"Design & Creative,Environment & Sustainability",Tech & Engineering / Gaming & Esports / Cybersecurity,2026-04-22T02:52:31.845128+00:00,"You lead and mentor teams of software engineers, making strategic decisions about product architecture while unblocking your team so they can ship great code faster."
HIGH,16,818f1dee-4f74-46a6-8604-7400e97af173,Software-as-a-Service (SaaS) Consultant,Software,title,Arts & Performance,"Media & Journalism,Design & Creative,Architecture & Urban Planning",Tech & Engineering / Gaming & Esports / Cybersecurity,2026-04-22T02:52:33.477982+00:00,"You help businesses transform their operations by implementing and optimizing cloud-based software solutions, earning trust through deep product expertise and strategic problem-solving that directly impacts their growth."
HIGH,16,83c29d22-f870-439f-8864-37a1e6ac2aec,Specialty Food Product Developer,Developer,title,Entrepreneurship,"Business & Finance,Design & Creative",Tech & Engineering / Gaming & Esports / Cybersecurity / Media & Journalism,2026-05-28T02:03:08.570219+00:00,"You invent and refine delicious, marketable food products from concept to shelf, blending culinary creativity with business strategy to build a brand people crave."
HIGH,16,2e23adc0-16db-4d93-bafc-ad6812af427c,Sports Broadcast Analyst,Broadcast,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Media & Journalism / Arts & Performance,2026-04-22T02:52:32.086589+00:00,"You analyze game footage, player statistics, and live action to deliver sharp, data-driven commentary that shapes how millions of fans understand sports performance and strategy."
HIGH,16,06dfa212-98be-4fa4-bcd7-3111936f6eea,Sports Physical Therapist,Therapist,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Healthcare & Medicine / Sports & Fitness / Education & Coaching / Social Impact & Nonprofit,2026-04-22T02:52:31.660242+00:00,"You rehabilitate athletes recovering from injuries like torn ligaments, fractures, and muscle strains through targeted exercises and manual therapy. Your treatment plans help athletes return to competition stronger and teach them how to prevent future injuries."
HIGH,16,ac26cfdf-82fd-4cc7-815b-2350e4d09e0e,Sports Therapist,Therapist,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Media & Journalism",Healthcare & Medicine / Sports & Fitness / Education & Coaching / Social Impact & Nonprofit,2026-04-22T02:52:29.206458+00:00,"You rehabilitate injured athletes and weekend warriors by designing personalized recovery plans, hands-on treatments, and conditioning programs that get people back in the game stronger than before."
HIGH,16,32a5158a-66d5-4f78-844a-402730b39465,Strength Training Programmer,Programmer,title,Sports & Fitness,"Education & Coaching,Healthcare & Medicine",Tech & Engineering / Gaming & Esports,2026-05-19T02:14:33.737826+00:00,"You design personalized workout programs and progression plans for athletes and clients, analyzing their goals and bodies to build strength safely and effectively while tracking their progress and adjusting intensity to maximize results."
HIGH,16,63e44fe1-f4ef-4c1f-bc02-82cb40c01e22,Sustainable Fabric Developer,Developer,title,Fashion & Beauty,"Science & Research,Environment & Sustainability",Tech & Engineering / Gaming & Esports / Cybersecurity / Media & Journalism,2026-05-21T02:12:02.05751+00:00,"You engineer innovative eco-friendly fabrics by experimenting with sustainable materials like recycled fibers and plant-based alternatives, transforming fashion's environmental footprint one textile at a time."
HIGH,16,da817efe-dda5-4083-a3a1-73fe82c5ddf9,Sustainable Fashion Analyst,Fashion,title,Environment & Sustainability,"Business & Finance,Science & Research",Fashion & Beauty / Design & Creative / Arts & Performance,2026-06-29T04:28:56.358297+00:00,"You analyze fashion supply chains and material choices to help brands reduce environmental impact, turning sustainability data into actionable recommendations that make clothing production cleaner."
HIGH,16,3eba22d6-294e-4e94-9cbf-04724574c91a,Sustainable Fashion Brand Developer,Developer,title,Fashion & Beauty,"Entrepreneurship,Environment & Sustainability",Tech & Engineering / Gaming & Esports / Cybersecurity / Media & Journalism,2026-07-09T03:50:45.354358+00:00,"You design and launch fashion collections that minimize environmental impact, balancing creative vision with sustainable materials, ethical production, and circular design principles to reshape how clothes are made and consumed."
HIGH,16,413fac3f-52d4-4a08-aac3-de26822674cb,Sustainable Fashion Designer,Fashion,title,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Fashion & Beauty / Design & Creative / Arts & Performance,2026-04-22T02:52:33.675655+00:00,"You design clothing and accessories that minimize environmental impact, sourcing eco-friendly materials, sketching innovative pieces, and collaborating with manufacturers to prove that style and sustainability can go hand-in-hand."
HIGH,16,9a369c59-6fcd-4787-8ed2-c05fb0e1661c,Sustainable Fashion Educator,Fashion,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Fashion & Beauty / Design & Creative / Arts & Performance,2026-04-22T02:52:31.20659+00:00,"You design and teach workshops on eco-friendly fashion practices, guiding students and professionals through sustainable textile sourcing, upcycling techniques, and ethical production while building a movement toward a circular fashion industry."
HIGH,16,fc26485a-f56f-4d89-9c75-24e7bfca2357,Sustainable Fashion Material Developer,Developer,title,Environment & Sustainability,"Science & Research,Fashion & Beauty",Tech & Engineering / Gaming & Esports / Cybersecurity / Media & Journalism,2026-07-22T03:18:28.386662+00:00,"You develop innovative eco-friendly fabrics and materials by experimenting with plant-based fibers, recycled textiles, and bio-engineered alternatives, creating the sustainable clothes of tomorrow."
HIGH,16,72f41985-a9f6-48a0-b43f-712bc47936c5,Sustainable Materials Developer,Developer,title,Fashion & Beauty,"Environment & Sustainability,Science & Research",Tech & Engineering / Gaming & Esports / Cybersecurity / Media & Journalism,2026-06-06T02:07:16.459295+00:00,"You engineer innovative fabrics and materials from recycled or bio-based sources, running tests in labs and collaborating with designers to create beautiful, planet-friendly products that reduce fashion's environmental footprint."
HIGH,16,43237668-6cce-4db3-92fb-ada4b2264862,Sustainable Textile Developer,Developer,title,Fashion & Beauty,"Science & Research,Design & Creative",Tech & Engineering / Gaming & Esports / Cybersecurity / Media & Journalism,2026-05-18T02:13:11.430212+00:00,"You design and engineer innovative fabrics using eco-friendly materials and processes, transforming the fashion industry by creating beautiful clothes that don't harm the planet."
HIGH,16,09130ec2-bb45-4968-80ad-724edd6a37d9,Theater Director,Theater,title,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Arts & Performance,2026-04-22T02:52:29.646164+00:00,"You shape every moment on stage by guiding actors, designing scenes, and making creative decisions that transform scripts into unforgettable performances that move audiences to tears or laughter."
HIGH,16,900a4b22-69da-407f-bdb9-d65a2d200ce8,Theater Lighting Technician,Theater,title,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Arts & Performance,2026-04-22T02:52:34.616352+00:00,"You operate lighting consoles, hang fixtures, and design dynamic lighting plots that transform stages into immersive worlds, making every performance visually unforgettable."
HIGH,16,40fc3860-e2be-417e-98f6-13f2d102ed62,Theater Operations Manager,Theater,title,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Arts & Performance,2026-04-22T02:52:30.082186+00:00,"You orchestrate every technical detail, safety protocol, and logistical operation that keeps live performances running smoothly—from lighting cues to emergency procedures—ensuring audiences experience flawless entertainment."
HIGH,16,acfa0208-1b10-4e40-a2da-1fc72505be1f,Theatrical Lighting Programmer,Programmer,title,Arts & Performance,"Design & Creative,Hospitality & Events",Tech & Engineering / Gaming & Esports,2026-06-19T02:54:06.283913+00:00,"You design and operate the lighting systems that transform theatrical spaces, cueing precise moments of color, intensity, and movement to enhance every scene and emotion on stage."
HIGH,16,ba9de3df-3848-4eff-9ad3-e57406df5262,Tourism Board Director,Tourism,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Hospitality & Events / Aviation & Transportation / Environment & Sustainability,2026-04-22T02:52:33.86077+00:00,"You develop and execute marketing campaigns, manage attractions and events, and build partnerships that transform your region into a must-visit destination while driving economic growth for local businesses."
HIGH,16,4965c22b-d8f4-416e-a17b-fa254dd7c675,Vintage Fashion Authenticator,Fashion,title,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Fashion & Beauty / Design & Creative / Arts & Performance,2026-04-22T02:52:30.47108+00:00,"You authenticate and evaluate vintage fashion pieces for collectors, retailers, and museums by examining construction techniques, materials, and historical markers to verify authenticity and determine value."
HIGH,16,8c8d566f-4285-4160-bdee-1fd85fcd4963,Youth Athletic Director,Athletic,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",Sports & Fitness / Healthcare & Medicine / Education & Coaching,2026-04-22T02:52:33.675655+00:00,"You organize sports programs, manage athletic facilities, and coach young athletes to build their skills and confidence while creating inclusive, healthy communities through organized youth sports."
LOW,10,dd29b9e1-d7be-44b7-bec7-ebc26f1b23d9,Accounting Firm Partner,Accountant,description,Hospitality & Events,"Food & Culinary,Marketing & Communications,Science & Research",Business & Finance,2026-04-22T02:52:29.646164+00:00,"You analyze financial statements, manage client accounts, and lead a team of accountants while building your firm's reputation and revenue through strategic business decisions."
LOW,10,0c20c515-f7a4-4841-8a2b-27d39d5cf5b7,Acting Coach,Actor,description,Sports & Fitness,"Healthcare & Medicine,Marketing & Communications,Architecture & Urban Planning",Arts & Performance / Media & Journalism,2026-04-22T02:52:33.675655+00:00,"You teach actors how to deliver powerful performances by breaking down scripts, building characters, and coaching them through emotional scenes—helping them find authenticity and confidence on stage or screen."
LOW,10,87b3c20a-40a7-40c8-a843-fb448b4ce458,Alternative Protein Startup Founder,Supply Chain,description,Entrepreneurship,"Science & Research,Environment & Sustainability",Supply Chain & Operations,2026-05-13T02:08:00.525711+00:00,"You develop and scale plant-based or cultivated protein products from concept to market, managing everything from food science and supply chains to fundraising and team building."
LOW,10,057d33ed-e6ae-45a3-9ae0-74d086a29c3f,Artistic Director,Actor,description,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Arts & Performance / Media & Journalism,2026-04-22T02:52:31.660242+00:00,"You shape the creative vision of theatrical productions, films, or performances by directing actors, designers, and technicians to bring stories to life with artistic impact and emotional resonance."
LOW,10,797f4d31-a133-4090-925b-9f082c549c40,Arts Grant Administrator,Performer,description,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",Arts & Performance / Sports & Fitness,2026-04-22T02:52:34.239097+00:00,"You review grant applications from artists and performers, decide which creative projects deserve funding, and help shape the cultural landscape by connecting passionate creators with the resources they need to bring their visions to life."
MEDIUM,10,7df04d1d-1592-4e1d-93e0-8d1c72ed95fe,Badminton Coach,Coach,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Media & Journalism",Sports & Fitness / Education & Coaching / Business & Finance / Social Impact & Nonprofit,2026-04-22T02:52:33.675655+00:00,"You teach students the speed, strategy, and precision of badminton while building their athletic confidence and competitive spirit through drills, gameplay, and personalized coaching."
MEDIUM,10,d011e4b8-7eb3-4a1f-9814-aaaa2214042d,Book Editor (Trade Publishing),Editor,title,Science & Research,"Healthcare & Medicine,Tech & Engineering",Media & Journalism / Design & Creative / Arts & Performance / Marketing & Communications,2026-04-22T02:52:31.845128+00:00,"You shape stories that reach thousands by refining manuscripts, collaborating with authors, and guiding books from concept to bestseller shelves."
MEDIUM,10,a4f1c0ea-0397-48c8-8a9d-b67e6a78f0ac,Chess Coach,Coach,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Media & Journalism",Sports & Fitness / Education & Coaching / Business & Finance / Social Impact & Nonprofit,2026-04-22T02:52:30.264317+00:00,"You teach chess strategy and tactics to students of all ages, breaking down complex games into teachable moments while building their critical thinking and competitive confidence."
